BMI,GDP_per_capita,Schooling,Life_expectancy
25.1,7350,8.1,64.3
20.6,769,4.5,67.8
27.1,19401,10.3,80.7
25.9,2697,10.9,72.7
21.6,1868,6.7,65.8
23.7,1290,4.9,66.1
20.7,1752,6.8,74.5
27,42772,13,81
25.1,2242,4,72.4
26.8,10237,8.3,78.8
25,6905,6,70.8
27,11710,12,75.6
25.2,1961,8.8,74
22.9,2580,6.2,61.4
26.6,8556,8.8,76.4
25.2,13220,8.9,74.2
24.2,468,10.6,62.8
25.3,1827,4.8,69.2
29.3,1493,7.5,65
22.2,346,2.6,58.3
24.7,1585,5.6,69.4
21.8,610,3.7,61.9
26.5,6213,12.1,73
26.4,3781,9.7,77.6
22.9,2543,2,64
27.4,9209,7.3,73.8
23.8,1444,8.2,58.4
25.8,966,10.6,69.3
26.9,1851,6.3,73
26.3,45865,11.9,79.6
26.7,6544,5.5,70
23.9,1357,5.1,66.6
22.9,1572,2.3,66
25.2,4432,10.3,73.2
26,44467,12.3,80.5
28.5,63002,8.4,79.1
26.4,5130,8.3,73.3
25.4,3640,9.7,72.3
23.2,1575,3.8,50.6
23.1,5129,7.1,74.1
24.2,1306,5.9,56.6
24.2,5685,7.6,75.7
23,2867,9.2,70.5
22.3,202,2.1,51.8
23.8,1266,4.2,58.3
26.1,20102,8.6,76.1
26.4,5215,10.7,70.9
25.6,33752,9.3,81.3
25.3,4462,10.3,73.2
26.1,12154,8,73.2
27.1,18240,9.3,78.2
21.1,354,4.1,52.9
21.2,974,4,59.4
22.6,33532,11.2,82.3
25.8,8702,6.9,73.6
25.9,9749,11.8,75.2
26.2,4098,6.9,75.7
26.8,2589,11.6,71
25.8,4805,8.4,73.8
23,1840,2.3,66.7
24.9,3057,7.2,74.8
27.5,53845,9.1,75.4
28,61583,8.4,78.1
21,480,5.9,62.9
26.9,9327,7,73.3
25.9,41522,11.9,78.7
26.7,6677,7.5,76.4
21.1,469,6,63.4
21.6,1416,5.8,67.9
23,330,2.1,55.1
20.6,828,3.9,64.2
20.5,638,3.8,61
25.5,44869,12,81.2
25.4,3903,7.1,71.5
22.5,956,2.7,56.9
23.6,7533,7.6,75.6
22.4,1279,2.3,62.7
26,17459,12.2,72.8
23.9,1774,6.9,62.8
24.6,5726,6.6,72
22.7,526,3.2,61
22.8,2484,9,70
25.7,3336,9.9,68.2
22.6,366,4.3,57.2
25.9,42802,12.4,81.5
26.6,13428,11.4,75.2
26.4,4174,9.5,65.9
23.3,556,3.6,63.4
28.9,4805,10.5,74
25,739,11,67.9
22,409,2.9,50.6
24.9,5183,9.9,77.7
25.4,6299,10.1,71.9
22,647,1.4,59.5
23.8,4684,7.9,50.2
25.4,6202,7.7,67.8
20.9,1913,8,74.7
25.6,19486,6.6,73.9
25.8,2790,6.6,68.7
19.9,1170,5.4,73
26.2,4685,10.6,70.2
24,1255,5.5,55.6
25.2,4234,6.5,70.9
29,32035,6.8,74.4
24.3,7504,6.9,58.2
26.4,5938,12,70.6
28,4052,6.4,68.6
25.3,3718,9.5,71.7
22.9,570,2.4,53.6
28.6,37169,6.1,73.4
24.9,2217,8.8,65.5
23.8,1323,5.1,66.4
25.2,2588,9,66.4
26.1,105290,11.8,81
27.4,32244,10.9,72.1
26.5,6625,7.5,75.5
22.3,1176,2.3,61.8
20.9,471,5.6,61.2
25.8,21143,8.1,75.2
23.8,13422,5.5,56.6
26,5346,9.8,75.5
25,39185,9.2,78.6
25.8,35011,11.7,78.3
25.8,2755,9,68.5
27.4,14072,9.8,75.8
27.1,18124,10.3,80.6
23.7,1193,3.9,61.5
26.9,53226,12.3,81.5
22.3,314,3.8,50.6
22.6,365,4,49.4
27.9,18496,8.1,73.5
26.5,1675,5.7,71.7
25.2,40785,11.3,78.5
25,1737,4.6,67.8
25.5,3320,3.5,69.8
28.8,2964,5.1,64.7
25.9,48886,12.4,81.7
27.5,7643,8.5,78.8
25.3,42377,11.6,79.8
25.2,2295,4,73
25.8,2364,10.9,72.6
22.8,1077,6.2,57.4
28,18203,8.6,73.8
25.8,3651,10,68.6
26.6,12986,9.7,73
22.1,287,3.3,46.8
26.2,25779,9.3,81.5
22.2,183,2.1,51.2
26.4,6713,7.5,74.5
26.4,35016,11.5,79.5
22.6,2849,7.6,69.5
24.1,3079,4.8,70.8
27.1,3335,7.1,71.2
26.1,49192,11.5,82.9
29.4,1429,7.6,65.2
22.7,562,2.3,52.7
25.2,40651,9.8,79.2
26.9,43635,13,81.8
25.3,3419,9.6,72.2
24.9,2066,3.8,71.1
25.8,2749,4,42.7
23.3,6544,3.1,71
21.1,302,2.4,54.2
22.7,2305,9,69.7
22,2062,5.5,52.1
22.7,738,2.4,57.9
26.5,20890,12,80.8
26.2,10260,10.5,72.3
22.1,323,2.5,57.8
25.8,49540,12.4,81.8
27.6,4908,9.6,74.1
28.3,36996,10.5,77.1
24.4,1803,3.4,60
25.1,4025,7.9,66.4
24.9,6789,5.8,70.5
26.2,25026,8.5,79.6
28.8,1506,6.9,63.4
26.1,41008,11.7,81
23.9,11283,5.5,57.4
26.3,6203,11.2,76.5
22.4,2750,10.9,75.3
25.6,19448,6.8,74.2
25.2,2144,8.7,74.3
25.5,4391,8.7,76.6
27.7,16559,10.5,78.8
22.9,558,3.4,62.1
31.2,3672,9.1,69.7
25.3,4403,6.8,74.3
25.9,2178,5.2,71.3
27.7,56916,8,77.6
24.6,631,10.5,66.1
27.9,3909,6.3,68.3
22.7,782,5,57.7
20.8,516,3.3,59.3
25.6,33150,9.1,80.8
26.4,13701,8.8,74.3
22,2022,4.4,48.4
26.8,50462,11.8,79.2
25.3,7352,6.3,71.9
28.6,4521,9.9,73.6
24.8,6788,5.6,70.1
20.4,708,4.4,66.9
22.7,705,2.1,56.1
27,23929,10.1,79.9
23.5,48753,11.2,81.5
21,514,5.9,62.5
26.7,9838,8.4,78.6
20.4,722,3.8,60.2
25.8,5393,7.2,71.8
26.2,27026,9.2,81.2
25.7,1980,5,70.4
25.9,69327,12.2,79.4
24.8,2046,3.7,61.1
22.8,450,4.3,55.6
22.6,1911,5.1,65.7
22.7,1143,2.4,63.6
21.3,313,2.6,57.2
22.7,34961,12.5,83.8
25.8,34441,8.5,74
24.2,6089,9,63.5
26,10943,9.7,75.5
22.9,2173,5.2,49.9
23.7,1435,8,56.9
25.7,5551,11,66
25.2,8955,9.1,74.2
26.7,4862,9.6,75.4
25.9,2875,5,75.7
23.5,41799,10.5,80
25.9,21575,11.8,78.6
27.9,50036,12.8,77
27.6,35252,11.9,80.7
26.4,5260,8.3,74.1
23.4,1185,3.3,60.4
22.8,1074,4,63.5
25.5,10626,11.8,70.3
26,2959,11.1,73.3
26.2,15067,12.3,76.1
31.3,4062,9.8,71.2
26.2,2231,10.9,69.9
28.7,63234,9.2,79.4
23.7,3982,6.2,55.2
27.4,8201,8.3,78.7
22,332,2.4,57.3
24.5,912,5.5,42.9
26.2,10659,12,71.1
26.4,16342,12.5,76.6
25.5,4397,7.1,73.4
22.9,1219,2.9,66.7
29.2,1531,7.3,64.5
25.5,4405,10.2,72.8
27.6,2610,4.8,68.6
26.6,12080,9.5,77.2
22.3,634,4.4,52.9
26.6,25630,10.7,78.6
20.2,857,3.7,56.5
22.6,536,3.1,49.4
26.2,16257,12.5,76.3
25.6,2572,3.6,44.4
27.1,4426,9.5,66.6
26.4,7190,8.1,71.6
25.9,3601,8.2,73.7
27.1,17796,10.4,81.3
27.8,40755,9.6,76
28.7,3381,6.4,70.2
26,8979,11.4,68.5
26.1,2528,11.2,68.2
22.5,523,3.3,53.9
25.4,4096,7.1,76
21,584,2.6,64.2
25.4,20625,5.3,72.1
27.8,58542,8.1,77.8
29.8,10094,8.9,75.6
26.1,8677,8,73.1
21.7,843,6.1,46.3
22.7,468,4.3,55.1
22.2,1215,6.6,55.7
26.8,4987,8.8,74.1
22.4,943,2.7,56.4
20.8,334,3.5,50.7
26.2,2599,11.3,68.3
25.9,7805,8,77.6
26.8,43928,12.4,79.2
26.1,6176,8.1,76.5
25.8,2789,5,75.5
27.8,10101,7.3,71.9
25.2,4132,7.6,75.7
25.9,978,10.5,70.1
27.2,6274,10,62
26.9,4535,9.3,66.4
22.6,1878,5.2,47.7
22.5,2149,8.8,69.2
21.9,637,1.5,51.3
24.6,1433,3.9,62.8
26.5,10389,9.2,74.3
25.2,9182,6.2,77.4
22.7,364,4.1,50.1
25.9,2902,4.5,42.5
25.9,34883,12.1,78.2
24.2,9119,4.3,75.1
26.6,17334,9.9,71
27.2,17254,9.3,78.3
26.1,104574,11.8,80.6
25.1,8550,10.1,74.7
25.5,19716,6.4,73.4
22.7,757,3.3,52.4
27,33678,12.7,81.7
25.8,100293,11.1,79.1
27.4,3515,5.7,68.4
23.8,649,4.1,59.6
22.3,2675,11,75.2
24.3,7044,7.8,73.4
24,6286,8.4,72.8
21.4,345,3.2,60.4
25.1,35640,10.9,81.7
26.1,2693,8.3,69
26,2144,11.2,68
23.3,4412,7,72.1
26,13679,11.4,74.9
23.6,1419,6.7,61
24.7,3752,6.9,73.1
25.3,41450,11.5,79.1
25.8,1919,10.6,67.8
25.4,32964,8.7,80.1
26.8,8910,9.2,76.9
22.4,1088,4.7,64.9
22.7,1848,3.3,49.6
25.5,44196,12.1,81.2
27.2,35052,11.7,79.9
22.9,857,5.5,60.5
25.3,4543,6.7,71.3
26.2,5568,8.4,69
21.9,729,2,56
25.6,4124,8.1,73.2
23.9,4282,6.3,58.1
25,82998,12.9,82
26.7,6738,8.4,71.8
27.1,9115,7.9,78.4
26.3,10964,12.5,73.5
24.2,3004,5,70.9
25.8,4725,7.2,73.9
27,2732,11.6,71.5
25.8,2514,7.8,68
26.4,3273,7,72.6
27.1,19948,10,79.6
24.9,3172,7.2,74.9
23,1175,4.5,64
23.6,2501,2.8,69.7
26.8,41155,12.6,81.2
25.9,9679,8,74.9
20.7,426,5.3,59.7
26.6,6783,8.3,71.8
25.6,907,10.7,69.6
20.7,306,1.9,49.9
24.6,1763,3.4,68.7
27.4,13794,7,72.2
22.7,34240,12.2,83.3
26.4,13262,11.9,73.9
25.6,19068,7,77.1
23.1,2449,6.3,63.1
21.9,965,6.4,49.8
23.5,4012,6.1,52.6
26.7,50948,11.9,81
23,1107,4.8,51
28.4,3126,6,69.8
24.7,1944,3.6,60.8
21.6,1172,4.2,61.6
26.1,8919,11.5,72
26.9,17189,8.1,78.3
26.6,5655,8,75.3
21,342,3.9,52.1
25.4,4647,7,70.8
26.2,25311,8.6,79.6
26.9,16762,12.5,77.9
27.1,1423,5.1,74
27.2,14200,9.8,75.4
21.1,399,2.5,51
26.5,34244,8.8,74.9
22.6,712,2,57.4
24.2,4897,6.7,62.1
26.3,3802,4.7,72.6
22.2,871,4.5,69.2
21.6,808,6.1,45.4
25.5,1910,4.9,69.8
26.9,1341,4.6,73.1
26.5,13909,9.2,76.3
25.3,3193,9.4,71.6
26,1423,9.3,67.2
26.5,11194,9.3,77
26.6,7934,8.4,72.7
26,8929,8,75.2
26.6,15834,9,77.4
24.5,5674,6.4,71.8
26.4,4434,9.3,75.1
24.1,1286,4.4,59
25.7,1290,10.8,71.4
26.2,4996,7.5,55.1
27.6,51197,9.3,75.6
26.2,9358,7.8,70.7
21.1,302,2.4,54.9
27.2,3739,12.6,72.4
26.8,42064,12.4,80.7
20.1,286,1.8,55.2
23.3,1558,3.9,51.1
26.1,5048,7.3,74.5
25.9,42711,12.4,81.2
22.9,1179,2.8,66.4
27.5,9299,7.2,74.9
25.8,3881,6.4,74.9
27.1,35122,10.9,72
25.3,3251,3.7,69.1
27.6,16188,10.5,78.7
25,40457,10.8,78
21.9,750,5.2,56.1
26.5,12022,8.4,76.4
26.2,105584,12,82.2
25,81805,12.6,81.7
26.6,10053,8.4,78.5
22.6,751,2.3,57.6
26.9,6085,10,57.7
25.4,34291,8.3,73.1
26.5,10232,9.3,76.8
24.4,874,5.4,42.6
26,2632,10.7,68.7
26.7,6060,9.1,54.5
27.1,1982,6.5,73.4
25.8,5496,9,73.9
25.8,4934,7.7,74.1
24.7,996,5.6,45.1
25.9,21458,7.7,75.4
29.1,3472,6.8,70.7
22.6,1041,6.1,57
22.7,31651,11.4,82.9
26.1,24635,9.5,82.4
26.1,25403,9.5,82.5
26.8,11780,11,76.8
21.2,517,3.9,46.2
25.6,4648,10.2,73.4
26.5,12960,11.1,75.2
22,403,2.3,39.4
27,8687,7.9,78.2
26.8,16506,12.4,77.4
22.3,1876,7.9,68.9
25.1,4376,6.7,70
21.5,1923,10,71.3
26.8,22514,11.9,80.2
25.6,7245,10,70.8
22.6,944,2.8,57.4
20.8,453,5.4,60.3
22.5,1029,3.3,62.8
23.3,1596,4,51.7
25.4,6809,7.4,72.8
25.7,37884,9.3,77.5
29.5,1409,7.8,65.5
25.5,4850,10.1,72.6
22,1105,4.7,68.3
25.8,1445,5.1,69.5
24.8,3947,7.8,65.5
20.3,414,2.3,60.6
25.8,4266,9.9,66.7
26.2,11985,12.1,70.9
25.8,5619,11.4,65.4
24.3,3085,5.4,71.4
21.7,542,3.5,61.6
25.8,19986,7.8,78.5
26.8,14086,8.4,76.9
26.5,2346,11.3,71.2
26.7,47731,11.6,78.5
25.3,51567,12.8,80.1
22.2,611,4.3,52.1
23.7,4495,7.7,50.3
22.1,2398,10.5,74.9
27.1,22071,11,81.7
25.2,1476,9.7,68.1
25.8,5354,10.6,74.5
26,42412,12.2,79.7
25.1,39636,9.4,78.7
25.9,7896,7.7,69.2
22.9,729,2.3,57
26.4,12790,10.3,75.9
21.7,482,1.7,60.1
25.6,4446,10.5,65.5
27,11537,11,77.1
22.6,33990,11.3,82.5
20.7,758,4.4,62.5
26.6,73650,12.5,82.1
23,468,4.3,56.8
27.7,4736,10.2,69.5
20.8,1833,7,74.6
20.4,490,2.4,62.5
23.6,1769,4.7,54.9
21.8,641,1.4,49.5
27.7,10226,7.7,75.8
25.5,44028,11.9,80.5
23.1,2574,2.3,64.9
21.3,417,1.4,55
24.6,1888,3.5,60.5
21.6,659,1.8,50.3
25.1,8384,8.6,73.9
25.8,3240,7.1,73
29,3023,6,65.5
20.3,796,3.7,57.2
23.8,1445,8.2,59.5
25.5,32998,8.8,80.2
27,43100,12.9,80.9
24.7,1037,5.8,46.2
28.3,54300,12.9,78
25.6,1976,5,70.1
23.2,2688,5.9,52.7
26.2,6693,10.9,74.9
25.4,7357,11.1,73.7
23.7,1432,7.9,55
25.7,46766,9.9,81
27.1,24922,11.2,81.9
26,1775,11.9,70.2
20,259,1.7,54.2
26,39970,11.4,80.6
27.5,35655,11.8,80.4
22.6,740,3.3,51.7
23.5,36710,9.8,79
25.8,13734,11.1,74.2
20.9,570,2.5,63.6
31.9,4108,10.9,70.2
27.7,32652,11.1,72.4
23.3,1465,6.3,64.8
23.8,1249,5.2,54.2
20.3,862,3.4,64.8
26.5,36024,11.7,79.7
26.3,12047,11.8,73.6
25.8,2062,10.8,72.5
21.5,1185,5.2,71.2
26.1,36699,13.6,79.1
25.2,2266,4.2,62.6
31.6,3875,9.2,69.8
21.8,993,4.5,67.5
22.7,711,2.4,57.9
25.3,4028,7.7,75.8
23.9,1343,4,60.1
26.1,2322,11.2,68.1
25.6,2477,3.7,45.8
26,3860,10.1,68.9
26.6,37086,12,79.9
26.3,8606,7.9,78.1
20,1230,5.6,73.2
26.3,19922,11.7,80.3
26.2,11369,12.3,76.7
21.7,321,2.4,49.3
22.4,2018,8.6,69
26.9,32657,11.6,78.8
20.9,375,1.4,47.7
24.4,1348,4.8,66.9
26.4,47127,11.8,79.9
26.5,6517,11.3,76.4
20.9,575,3.4,61.2
24.2,7507,6.8,57.9
23.5,44160,10.1,80.1
27.3,4683,10.1,66.9
27.1,18084,10.6,81
24.4,1624,8.3,63.3
20.2,1372,6,73.7
25,3371,7.3,75.1
26.8,16369,9.2,77.8
21.7,1253,4.3,62.2
26,35065,8.6,74.4
27.1,20558,10.3,81.4
25.3,1913,4.6,71.8
25.1,82800,13.4,82.7
24.5,602,10.5,65.3
21.4,1130,5.1,70.9
22.5,2078,8.7,69.1
26.4,1102,10.8,70.4
26.4,6712,7.5,75
26.6,4687,9.5,75.5
23.9,4986,8.3,52.1
26.1,8755,11.5,68.8
26.3,10170,8,75.8
25.6,9641,10.3,73.6
27.4,36363,11.8,80.2
26.3,4340,9.1,75
27.1,4946,9,74
26.4,3036,8.7,70.3
22.1,903,4.1,63.5
25.7,11426,10.8,73.9
26.7,5426,10.8,71.8
24.3,1801,3.4,59.7
31.8,3769,10.7,70.1
26.1,2999,5.3,69.2
27.4,62012,12.3,81.5
26.6,38573,12.2,80.2
24.3,1592,8.2,62.9
27.1,11544,11.1,77.5
26.3,3701,6.8,72.5
25.1,80262,13.3,82
21.4,518,1.3,53.3
24.8,1109,6,48.7
25.9,5631,7.6,75.9
25.3,2473,4.2,74
25,38843,9,78.1
27.5,12339,9.8,79
21.4,432,1.4,55.8
26.7,3262,6.4,70.3
25,34900,10.3,80.2
25.9,1466,5.2,69.9
25.6,5309,7.2,71.3
26.1,4231,8.7,74.4
29.2,33455,7.2,74.7
31.1,3955,9.5,70.6
27.5,57910,8.9,75.2
25.6,1787,10.1,68.9
27.3,11933,11.2,77.3
27.1,19574,10.2,80.2
26.3,17097,12.6,77
27.2,35863,10.9,72
23.6,4569,7.6,50.6
22.2,2543,10.6,75
25.4,43592,11.8,79.7
22.5,2950,10.8,75.4
31.8,3742,10.4,70
24.8,8074,9.4,74.1
26.2,1529,5.4,70.9
25.8,1856,10.8,72.3
26.1,6918,8,71.4
20.2,870,3.7,55.9
20.7,809,4.6,68.2
22.8,381,4.4,61
26.5,1121,10.8,70.7
23.1,2597,5.9,52.2
25.4,42655,11.7,80.3
25.6,4968,10.2,73.6
26.3,2207,5.5,73.8
25.5,5007,7.1,71
22.3,1298,6.7,58.5
26.9,31679,9,75.2
20.2,363,2.1,58.5
24.4,1402,4.9,67.4
25.2,84776,13.4,82.9
26.5,3856,9.7,77.8
28.9,1537,7,63.7
29.7,1415,7.9,66.4
24.1,1278,5.7,56.1
22.7,2025,5,66.1
26.5,3995,6.3,73.3
24.5,3490,6.5,72.1
26.6,2103,11,69.1
25.7,12362,11.9,71.3
29.1,63039,9.8,79.8
20.6,488,5.2,58.5
28.8,3485,6.5,70.3
25.2,3944,7.9,66.7
25.1,752,10.9,68.4
24.9,1524,4.3,63.9
26.1,9824,11.5,69.5
24.2,1842,3.3,59.5
23,574,2.5,54.1
25.4,22258,8.4,74.8
26.5,73047,12.7,81.8
21.8,2037,10.2,73.8
25,3304,8,71.1
24.6,1417,3.8,62.5
22.3,1160,5.7,53.5
28.8,2895,4.8,64.6
26.4,39888,11.8,78
26.3,11107,11.6,73.3
27,55255,12.6,82
26.9,16952,9.2,77.9
22.6,468,4.2,54.6
26.9,14541,8.5,77
24,5531,7.7,75
26.8,3101,12.2,71.5
28.5,4644,9.8,73.4
23.5,1224,5.1,52.3
26.5,5308,8.4,74.1
25.4,2251,7.3,65.9
26,3880,9.3,68.9
27,17747,8.5,78.5
21.9,678,1.5,50.4
21.5,2315,7.9,75
22.8,1326,6.1,61
27,17914,9.2,78
24.7,3760,7,73.5
25.1,49600,12.8,77.1
24.9,7809,9.6,74.3
21.2,1093,5.2,65.8
23.5,1081,4.2,61.4
27.3,16784,9.4,78.4
23.4,1175,5.1,51.9
25.9,2065,10.7,68.2
24,7647,6.6,57.8
26,34620,12.5,78.4
24,1206,4.5,64.7
21.8,273,3.1,45.2
25.2,1706,4.7,68.5
22.5,696,1.6,55.6
27.5,16232,10.5,78.6
26.2,27219,9.1,80.9
28.2,10174,7.7,74.4
25.8,7155,11.7,65.9
26.2,3029,5.5,69.4
26.7,50333,11.7,80.8
25.6,19026,6.9,76.8
20.5,654,3.9,62.2
24.9,1313,9.2,67.4
24.8,699,10.5,67.4
26.9,42846,12.9,81.7
22,814,5.4,58.1
26,20428,12.1,79
23.8,1224,3.9,59.1
25.6,15122,9.1,75
25.7,2662,3.4,43.4
25.4,16241,11.6,75.4
26.3,16553,12.6,77.1
24.8,749,9.9,68.7
25.1,8647,8.9,74
27.3,35625,11.7,80
23.4,1240,6.5,59.7
21.8,163,2.2,56.3
26.9,51625,11.9,79.6
25.9,1338,9,67
20.9,345,2.3,48.6
26,8445,7.7,69.9
23,686,2.5,58.7
26.1,28748,12,79
25.3,1774,4.8,68.8
24.2,5899,8.9,61.9
25.2,7206,6.2,71.5
25.9,35456,8.5,74.2
26.8,2374,11.4,70.6
22.7,1410,2.3,64.5
23.7,1602,3,66.1
20.6,761,3.9,63.7
27.3,2352,5.5,68.6
22.5,1338,6.9,61.7
20.7,501,5.2,59.1
25.7,5706,7.7,71
26.3,10511,11.7,72
25,49470,11.4,76.8
24.5,5534,6.2,71.7
26,5589,11,75.3
25.5,3868,8.7,72.9
26,2232,5.3,71.6
26.5,41598,12,78.4
24.8,1470,4.1,63.4
26,39929,11.2,80.6
26.6,5414,8.5,73.7
25.2,6601,10.8,78.3
27.1,20566,10.5,80.7
25.1,831,10.1,68.2
25.7,38426,10.7,79
25.3,3937,9.9,71.8
25.4,16737,11.5,75.8
21.8,628,1.5,51.2
25.3,2186,7,65.3
27.6,17032,6.8,72.8
29.6,2907,8,67.3
25.5,2631,4.4,74.7
25.6,4819,10.4,73.4
27,11470,12.2,75.1
22.1,906,2.6,55.4
26,2867,6.7,69.3
28.8,4770,10.5,73.8
30.8,3590,9.2,69.8
24.1,739,5,46.2
23.5,34599,9.5,78.6
24.8,2054,7.3,63.1
26.2,9521,11.9,70.7
25.7,10198,7.6,71
27.3,8434,8.1,78.6
21.7,738,2.1,51.9
25.9,40152,11,79.7
25.3,4305,6.9,70.5
24.2,6705,9.1,65
20.9,440,1.2,50.5
26.7,34097,8.9,75
24.3,6896,9.2,66.3
27.1,44596,12.7,81.3
28.8,55675,13.3,78.8
23.5,2053,3.8,69.6
25.7,97598,10.9,77.7
27.1,10714,9.5,77.9
21.4,867,3.9,65.4
25.8,48851,10,81.5
21.6,481,3.5,61.3
25.9,6289,10.6,73.4
26,7323,11.4,65.5
25.6,67438,12,78.6
26,5157,9.8,75.2
21.4,657,1.6,48.9
23.9,713,4.3,60.7
22.3,2384,1.2,60.7
26.9,11547,11,76.9
23.7,626,4,58.2
25.5,42175,9.4,79.7
28.2,20250,9.4,74.3
24.6,3593,6.7,72.6
23.3,1316,3.8,57.1
25.8,5910,11.4,65.1
29.4,3167,7.4,66.6
23.1,1124,4.9,51.2
22.5,2720,7.4,69.2
27,55724,12.6,82.1
28.6,3291,6.2,70
25.2,41281,9.9,79.3
26.2,4208,8.9,74.4
25,36468,10.7,81.1
32,3932,10.3,72.5
23.1,3169,4.9,58.1
25.7,4730,9,76.9
23.4,6592,7.5,75
23.4,1088,3.3,60.3
20.5,596,2.5,64.5
22.6,732,2,55.3
25.6,3283,6.5,72.9
26.6,12496,8.4,76.6
21,932,4.8,69.5
26.9,5992,10.1,56.5
23.3,1182,3.1,60.1
22.6,576,3.8,48.6
26.6,5588,8.9,53.4
26.5,5324,7.9,75.1
25.2,2965,5.1,73.4
24.9,34152,10.1,79.3
26.4,6109,9.4,75.5
27,31164,9,75.3
26.5,44919,11.2,77.6
21.8,442,3.1,44.2
20,1075,2.8,59.9
22.9,1567,3.5,49.6
24,715,4.9,47.7
27.3,18441,10.8,72.6
22.3,1093,2.4,59.3
26.1,6694,10.8,74.3
27.1,45405,12.8,81
25,36183,11,82
25.8,18655,8.5,80.4
24.1,747,5.1,44.9
25.8,3621,4.3,70.8
26,14526,11.6,75.1
22.1,364,2.4,40.4
22.9,331,2.1,54.7
26.2,11973,8,73.1
24.8,3828,7.2,73.9
21.8,484,1.8,60.6
27.1,21222,10.8,80.7
28,2699,5.3,69.1
27.7,12386,7.3,71.9
26.3,3607,11.6,74.5
26.3,9502,7.9,70.9
27.7,9280,8.6,75
22.1,577,2.3,50.4
26.7,4570,9.2,66.3
28.4,59091,9.2,78.9
20.9,897,4.8,69.1
22.4,1931,8,68.9
24.9,8733,5.5,76.7
21.6,655,4.6,52.8
27.1,35649,10.9,72
24.7,7850,8.8,73.9
23.2,519,4.4,58.7
25,2398,9.9,64.4
26.7,16197,9.1,77.7
26.3,5024,10.7,70.6
26.8,16161,12.3,77.1
26.5,6111,12,72.5
26,112418,11.7,79.4
25.8,9962,9.8,74.7
21.6,1248,5.2,71.5
22.1,1485,4.5,63.8
21.1,398,1.3,52.7
28.1,18568,8.9,73.9
24.8,74013,11.4,79.7
26.5,8454,8.1,73
26,8966,7.1,73.9
23.9,1559,4,61.4
23,888,5.5,61.4
25.7,5324,11.3,65.5
23,996,2.8,59
22.5,1353,2.3,63.6
26,2817,6.8,69.4
25.8,4420,7.4,72.3
23.8,2411,4.3,70.4
26.4,23603,10.2,78.3
23,1382,6.2,62.7
26.3,1907,10.4,67.8
23.2,3207,4.9,58.8
22.6,2251,8.9,69.4
25.2,2131,7.1,64.8
25.7,16786,9.2,75.2
22.7,3463,10.9,75.8
25.9,7889,10.6,73.3
22.4,472,2.7,44.5
26.1,8942,7.7,70.5
25.8,2184,5.1,72.8
26.8,6076,5.6,70.6
26,16608,12.3,73.8
24.8,74705,11.6,80.2
25.5,865,10.7,69.3
23.1,386,2.1,55.9
25.4,4112,7.9,75.9
24.1,5654,7.5,75.4
21,411,1.2,52
26.8,22682,12,80
27.2,60716,8.3,74.3
26.2,9248,7.4,74.5
26.7,2754,11.4,70.9
20.6,701,3.9,62.7
22.4,328,3.9,52.2
22.7,1765,3.3,49.5
26.1,14586,12.5,75.4
26.7,42097,12.4,80.5
24.9,22079,9,76.5
26.8,5506,10.7,72
25.9,5772,7.3,72
26.1,4294,10,69.4
27.4,4275,10.1,68.8
23.8,1777,6.9,62.4
20.9,334,3.7,51.4
26.1,9094,11.4,67.9
25.9,10083,8,74.7
22.4,1196,5.8,54.7
25.8,8593,11.2,71.3
21.6,892,4.4,66.6
26.2,5749,8.6,75
23.4,1319,6.6,60.2
26.7,11971,9,74.6
24.7,6243,7,72.3
24.1,1261,4.7,62.9
27.3,15614,8.7,77.4
21,898,4.7,64.1
26.6,45523,11.4,78.1
22,1405,4.4,63.3
26.5,4531,9.4,75.4
26.2,18611,9.3,76.6
26.3,4803,7.8,73.1
20.3,919,3.3,63.9
26.3,5204,11.9,70.4
25.5,9601,10.1,75.3
31.6,3839,9.4,69.9
27.8,49095,12.7,76.9
27,12398,9.3,75.1
22.6,1039,3.5,63.1
21.9,623,1.4,58.4
22.6,2310,9,69.5
26.7,19312,8.8,78.4
24.8,6316,7.2,72.4
27,3357,12.2,71.8
22.2,441,2.5,41.4
27.8,18670,7.8,73.4
21.3,1078,5.1,70.6
24.6,3851,7.7,65.2
23.2,1009,3,59.8
22.4,213,2.1,52
27.8,3588,9.5,71.7
25.8,7550,7.7,68.9
23.7,1686,6.8,61.7
25.5,18795,6.8,76.3
23.5,671,2.9,59.9
26,8640,11.4,67.6
25.1,5386,9.7,71.3
28.7,54831,13.2,78.7
27.6,13539,7.3,72
22.5,2558,6.6,72.1
32,4160,11,70.3
24.1,1884,3.3,59.3
20.4,933,3.5,65.6
22.6,732,2,55.7
20.2,335,2,57.3
22,384,2.9,50.4
25.5,44391,12,80.7
25.5,22698,8.4,74.6
27.9,13495,10.3,79.6
25.5,34927,8.4,73.3
26.5,41103,14.1,80.6
25.9,101222,11.3,79.4
26.8,12919,8.9,74.8
26.2,15693,12.5,76.2
23.5,39857,10.2,79.5
25.6,5231,10.2,72.6
25.2,41601,11.5,79.8
22.5,673,1.6,56.3
25.1,41117,11.4,79.6
26,5023,7.3,74.3
25.9,2038,10.5,69.4
22.4,2194,6.5,71.4
25.1,1644,4.7,68.2
22.4,393,2.9,59.4
26.1,4016,6.8,75.6
22.8,760,2.6,59
